Texonomy Level 1,Texonomy Level 2,Texonomy Level 3,Texonomy Level 4,Texonomy Level 5
Legal/Patent,Legal Services,Intellectual Property (IP) Services,Patent Services,
Legal/Patent,Legal Services,Intellectual Property (IP) Services,Trademark Services,
Legal/Patent,Legal Services,Intellectual Property (IP) Services,Copyright Services,
Legal/Patent,Legal Services,Intellectual Property (IP) Services,Trade Secret Protection Services,
Legal/Patent,Patent Research and Analysis,,,
Legal/Patent,Patent Maintenance Fees,,,
Legal/Patent,Patent Translation and Transcription Services,,,
Legal/Patent,Patent Software and Tools,,,
Material,Raw Materials,Metals and Alloys,,
Material,Raw Materials,Plastics and Polymers,,
Material,Raw Materials,Fabrics and Textiles,,
Material,Raw Materials,Wood and Timber,,
Material,Raw Materials,Glass and Ceramics,,
Material,Raw Materials,Chemicals and Solvents,,
Material,Raw Materials,Electrical Components,,
Material,Raw Materials,Packaging Materials,,
Material,Raw Materials,Other Raw Materials,,
Material,Components and Parts,Mechanical Components,,
Material,Components and Parts,Electrical Components,,
Material,Components and Parts,Electronic Components,,
Material,Components and Parts,Pneumatic and Hydraulic Components,,
Material,Components and Parts,Fasteners and Hardware,,
Material,Components and Parts,Bearings and Seals,,
Material,Components and Parts,Other Components and Parts,,
Material,Equipment and Machinery,Manufacturing Machinery,,
Material,Equipment and Machinery,Processing Equipment,,
Material,Equipment and Machinery,Testing and Measurement Equipment,,
Material,Equipment and Machinery,Tools and Tooling Equipment,,
Material,Equipment and Machinery,Maintenance and Repair Equipment,,
Material,Equipment and Machinery,Safety Equipment,,
Material,Equipment and Machinery,Other Equipment and Machinery,,
Material,Safety and Personal Protective Equipment (PPE),Protective Clothing,,
Material,Safety and Personal Protective Equipment (PPE),Head Protection,,
Material,Safety and Personal Protective Equipment (PPE),Eye and Face Protection,,
Material,Safety and Personal Protective Equipment (PPE),Hand and Arm Protection,,
Material,Safety and Personal Protective Equipment (PPE),Foot and Leg Protection,,
Material,Safety and Personal Protective Equipment (PPE),Respiratory Protection,,
Material,Safety and Personal Protective Equipment (PPE),Hearing Protection,,
Material,Safety and Personal Protective Equipment (PPE),Fall Protection,,
Material,Safety and Personal Protective Equipment (PPE),Other Safety and PPE Equipment,,
Delivery,Delivery Services,Courier Services,,
Delivery,Delivery Services,Shipping Services,,
Delivery,Delivery Services,Freight Services,,
Delivery,Delivery Services,International Delivery Services,,
Delivery,Delivery Services,Warehousing and Fulfillment Services,,
Delivery,Outsourced Services,Third-Party Logistics (3PL) Services,,
Delivery,Outsourced Services,Delivery Fleet Outsourcing,,
Delivery,Outsourced Services,Inventory Management Services,,
Delivery,Outsourced Services,Route Optimization Services,,
Delivery,Outsourced Services,Order Tracking and Management Services,,
Delivery,Outsourced Services,Reverse Logistics Services,,
Delivery,Outsourced Services,Packaging and Labeling Services,,
Delivery,Outsourced Services,Customer Support for Delivery Services,,
Delivery,Outsourced Services,Delivery Technology and Software Services,,
Delivery,Outsourced Services,Customs Clearance and Import/Export Services,,
Delivery,Shipping Supplies and Materials,"Packaging Materials (e.g., boxes, tape, bubble wrap)",,
Delivery,Shipping Supplies and Materials,Shipping Labels and Stickers,,
Delivery,Shipping Supplies and Materials,"Shipping Equipment (e.g., scales, thermal printers)",,
Delivery,Returns and Exchanges,Return Shipping Costs,,
Delivery,Returns and Exchanges,Restocking Fees,,
Consulting,Professional Services,Consulting Services,Management Consulting,
Consulting,Professional Services,Consulting Services,Financial Consulting,
Consulting,Professional Services,Consulting Services,IT Consulting,
Consulting,Professional Services,Consulting Services,Human Resources Consulting,
Consulting,Professional Services,Consulting Services,Marketing Consulting,
Cleaning,Cleaning Services,Office Cleaning Services,,
Cleaning,Cleaning Services,Commercial Cleaning Services,,
Cleaning,Cleaning Services,Janitorial Services,,
Cleaning,Cleaning Services,Industrial Cleaning Services,,
Cleaning,Cleaning Services,Floor Cleaning and Maintenance Services,,
Cleaning,Cleaning Services,Carpet Cleaning Services,,
Cleaning,Cleaning Services,Window Cleaning Services,,
Cleaning,Cleaning Services,Exterior Building Cleaning Services,,
Cleaning,Cleaning Services,Specialized Cleaning Services,,
Cleaning,Cleaning Supplies and Equipment,Cleaning Chemicals and Detergents,,
Cleaning,Cleaning Supplies and Equipment,Cleaning Tools and Equipment,,
Cleaning,Cleaning Supplies and Equipment,Trash Bags and Liners,,
Cleaning,Cleaning Supplies and Equipment,"Paper Products (towels, tissues, toilet paper)",,
Cleaning,Cleaning Supplies and Equipment,Cleaning Carts and Trolleys,,
Cleaning,Cleaning Supplies and Equipment,Vacuum Cleaners and Floor Scrubbers,,
Cleaning,Cleaning Supplies and Equipment,Window Cleaning Tools and Accessories,,
Cleaning,Cleaning Supplies and Equipment,Personal Protective Equipment (PPE) for Cleaning Staff,,
Cleaning,Waste Management Services,Trash and Garbage Collection Services,,
Cleaning,Waste Management Services,Recycling Services,,
Cleaning,Waste Management Services,Hazardous Waste Disposal Services,,
Cleaning,Waste Management Services,Document Shredding and Confidential Waste Disposal,,
Cleaning,Laundry and Linen Services,,,
Cleaning,Cleaning and Hygiene Audits,Cleaning and Sanitation Assessments,,
Cleaning,Cleaning and Hygiene Audits,Hygiene and Safety Audits,,
Cleaning,Cleaning and Hygiene Audits,Indoor Air Quality Testing,,
Cleaning,Green Cleaning Services,Eco-Friendly Cleaning Products and Supplies,,
Cleaning,Green Cleaning Services,Sustainable Cleaning Practices,,
Security,Security Services,Security Guard Services,,
Security,Security Services,Mobile Patrol Services,,
Security,Security Services,Alarm Monitoring and Response Services,,
Security,Security Services,Access Control Services,,
Security,Security Services,Video Surveillance and Monitoring Services,,
Security,Security Services,Event Security Services,,
Security,Security Services,Executive Protection Services,,
Security,Security Services,Loss Prevention Services,,
Security,Security Services,Fire Watch Services,,
Security,Security Services,Security Consulting Services,,
Security,Security Systems and Equipment,Alarm Systems,,
Security,Security Systems and Equipment,CCTV Cameras and Video Surveillance Systems,,
Security,Security Systems and Equipment,Access Control Systems,,
Security,Security Systems and Equipment,Intrusion Detection Systems,,
Security,Security Systems and Equipment,Fire Detection and Suppression Systems,,
Security,Security Systems and Equipment,"Perimeter Security Systems (fencing, barriers, gates)",,
Security,Security Systems and Equipment,Security Lighting Systems,,
Security,Security Systems and Equipment,Security Locks and Safes,,
Security,Security Systems and Equipment,Biometric Identification Systems,,
Security,Security Systems and Equipment,Emergency Communication Systems,,
Security,Cybersecurity Services,Network Security Services,,
Security,Cybersecurity Services,Data Protection and Encryption Services,,
Security,Cybersecurity Services,Vulnerability Assessments and Penetration Testing,,
Security,Cybersecurity Services,Security Information and Event Management (SIEM) Services,,
Security,Cybersecurity Services,Security Awareness Training,,
Security,Cybersecurity Services,Incident Response and Forensic Services,,
Security,Security Personnel Training,Security Guard Training Programs,,
Security,Security Personnel Training,First Aid and CPR Training,,
Security,Security Personnel Training,Emergency Response Training,,
Security,Security Personnel Training,Workplace Violence Prevention Training,,
Security,Security Personnel Training,Security Awareness Training for Employees,,
Security,Security Audits and Risk Assessments,Security Vulnerability Assessments,,
Security,Security Audits and Risk Assessments,Physical Security Audits,,
Security,Security Audits and Risk Assessments,Information Security Audits,,
Security,Security Audits and Risk Assessments,"Compliance Audits (e.g., HIPAA, PCI-DSS)",,
Security,Security Audits and Risk Assessments,Threat and Risk Assessments,,
Security,Secure Data Destruction and Disposal Services,Hard Drive and Media Destruction Services,,
Security,Secure Data Destruction and Disposal Services,Secure Document Shredding Services,,
Security,Secure Data Destruction and Disposal Services,E-Waste Recycling and Disposal Services,,
Hiring,Recruitment Services,Recruitment Agency Fees,,
Hiring,Recruitment Services,Job Board Advertising Fees,,
Hiring,Recruitment Services,Recruitment Process Outsourcing (RPO) Services,,
Hiring,Recruitment Services,Candidate Sourcing Services,,
Hiring,Recruitment Services,Executive Search Services,,
Hiring,Recruitment Services,Recruitment Software and Applicant Tracking System (ATS) Fees,,
Hiring,Talent Acquisition Expenses,Employer Branding and Marketing,,
Hiring,Talent Acquisition Expenses,Employee Referral Programs and Bonuses,,
Hiring,Talent Acquisition Expenses,"Campus Recruitment Expenses (career fairs, campus events)",,
Hiring,Talent Acquisition Expenses,Recruitment Events and Job Fairs,,
Hiring,Talent Acquisition Expenses,Pre-employment Testing and Assessment Fees,,
Hiring,Talent Acquisition Expenses,Background Checks and Drug Testing Fees,,
Hiring,Onboarding and Orientation,New Hire Training Programs and Materials,,
Hiring,Onboarding and Orientation,Employee Handbook and Policy Development,,
Hiring,Onboarding and Orientation,Orientation and Induction Programs,,
Hiring,Onboarding and Orientation,Onboarding Software and Technology,,
Hiring,Relocation and Moving Expenses,Relocation Assistance Packages,,
Hiring,Relocation and Moving Expenses,Moving and Transportation Costs,,
Hiring,Relocation and Moving Expenses,Temporary Housing or Accommodation Expenses,,
Hiring,Relocation and Moving Expenses,Visa and Immigration Fees for International Hires,,
Hiring,Employee Benefits,Health Insurance Premiums,,
Hiring,Employee Benefits,Retirement Plan Contributions,,
Hiring,Employee Benefits,Paid Time Off (PTO) and Vacation Accruals,,
Hiring,Employee Benefits,Employee Assistance Programs (EAP),,
Hiring,Employee Benefits,"Other Employee Benefit Programs (e.g., dental, vision, disability)",,
Hiring,Training and Development,Employee Training Programs and Workshops,,
Hiring,Training and Development,Leadership Development Programs,,
Hiring,Training and Development,Professional Certification and Licensure Fees,,
Hiring,Employee Recognition and Rewards,Employee Recognition Programs,,
Hiring,Employee Recognition and Rewards,Performance Bonuses and Incentives,,
Hiring,Employee Recognition and Rewards,Employee Gifts and Awards,,
Hiring,HR Software and Technology,HR Management System (HRMS) Fees,,
Hiring,HR Software and Technology,Payroll Software and Services,,
Hiring,HR Software and Technology,Time and Attendance Software and Services,,
Hiring,HR Software and Technology,Performance Management Software,,
Hiring,HR Software and Technology,Employee Engagement and Feedback Tools,,
Repair & Maintenance - Vehicle,Vehicle Expenses,Fuel Costs,,
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Regular Maintenance,Oil Changes
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Regular Maintenance,Tire Rotations
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Regular Maintenance,"Fluid Replacements (e.g., coolant, brake fluid)"
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Regular Maintenance,"Filter Replacements (e.g., air filter, oil filter)"
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Regular Maintenance,Battery Replacements
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Regular Maintenance,Belt and Hose Replacements
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,Engine Repairs
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,Transmission Repairs
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,Brake Repairs
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,Suspension and Steering Repairs
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,Electrical System Repairs
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,Exhaust System Repairs
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,Cooling System Repairs
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,Fuel System Repairs
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,HVAC System Repairs
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,Body and Paint Repairs
Repair & Maintenance - Vehicle,Vehicle Expenses,Maintenance and Repairs,Unscheduled Repairs,Glass Repairs and Replacements
Repair & Maintenance - Vehicle,Vehicle Expenses,Tires and Wheels,Tire Replacements,
Repair & Maintenance - Vehicle,Vehicle Expenses,Tires and Wheels,Wheel Alignments,
Repair & Maintenance - Vehicle,Vehicle Expenses,Tires and Wheels,Tire Balancing,
Repair & Maintenance - Vehicle,Vehicle Expenses,Tires and Wheels,Tire Repairs,
Repair & Maintenance - Vehicle,Vehicle Expenses,Accessories and Upgrades,,
Repair & Maintenance - Vehicle,Vehicle Expenses,Accessories and Upgrades,,
Repair & Maintenance - Vehicle,Vehicle Expenses,Accessories and Upgrades,,
Repair & Maintenance - Vehicle,Fleet Management Expenses,Vehicle Acquisition,Vehicle Purchases,
Repair & Maintenance - Vehicle,Fleet Management Expenses,Vehicle Acquisition,Vehicle Leases,
Repair & Maintenance - Vehicle,Fleet Management Expenses,Insurance Costs,,
Repair & Maintenance - Vehicle,Fleet Management Expenses,Vehicle Registration and Licensing Fees,,
Repair & Maintenance - Vehicle,Fleet Management Expenses,Parking and Tolls,,
Repair & Maintenance - Vehicle,Fleet Management Expenses,Depreciation,,
Repair & Maintenance - Vehicle,Fleet Management Expenses,Vehicle Tracking and Telematics Systems,,
Repair & Maintenance - Vehicle,Fleet Management Expenses,Fleet Software and Management Tools,,
Repair & Maintenance - Vehicle,Training and Certification,Driver Training Programs,,
Repair & Maintenance - Vehicle,Training and Certification,Mechanic Training Programs,,
Repair & Maintenance - Vehicle,Training and Certification,Certification and Licensing Fees,,
IT Facility,Data Center Fees,Co-location Fees,,
IT Facility,Data Center Fees,Rack Space Rental Fees,,
IT Facility,Data Center Fees,Power and Cooling Fees,,
IT Facility,Data Center Fees,Network Connectivity Fees,,
IT Facility,Data Center Fees,Remote Hands Services,,
IT Facility,Cloud Service Provider Fees,Infrastructure-as-a-Service (IaaS) Fees,,
IT Facility,Cloud Service Provider Fees,Platform-as-a-Service (PaaS) Fees,,
IT Facility,Cloud Service Provider Fees,Software-as-a-Service (SaaS) Fees,,
IT Facility,Cloud Service Provider Fees,Data Storage and Backup Fees,,
IT Facility,Cloud Service Provider Fees,Network Bandwidth Fees,,
IT Facility,Software Licensing and Maintenance Fees,Operating System Licensing Fees,,
IT Facility,Software Licensing and Maintenance Fees,Database Software Licensing Fees,,
IT Facility,Software Licensing and Maintenance Fees,Enterprise Resource Planning (ERP) Software Licensing Fees,,
IT Facility,Software Licensing and Maintenance Fees,Customer Relationship Management (CRM) Software Licensing Fees,,
IT Facility,Software Licensing and Maintenance Fees,Collaboration and Productivity Software Licensing Fees,,
IT Facility,Software Licensing and Maintenance Fees,Maintenance and Support Fees for Licensed Software,,
IT Facility,Network and Telecommunication Fees,Internet Service Provider (ISP) Fees,,
IT Facility,Network and Telecommunication Fees,Wide Area Network (WAN) Fees,,
IT Facility,Network and Telecommunication Fees,Local Area Network (LAN) Fees,,
IT Facility,Network and Telecommunication Fees,Network Equipment Fees,,
IT Facility,Network and Telecommunication Fees,Voice and Telephony Services Fees,,
IT Facility,Network and Telecommunication Fees,Video Conferencing Services Fees,,
IT Facility,IT Equipment and Hardware Fees,Servers and Storage Equipment Fees,,
IT Facility,IT Equipment and Hardware Fees,Networking Equipment Fees,,
IT Facility,IT Equipment and Hardware Fees,Desktops and Laptops Fees,,
IT Facility,IT Equipment and Hardware Fees,Peripherals and Accessories Fees,,
IT Facility,IT Equipment and Hardware Fees,Printers and Scanners Fees,,
IT Facility,IT Equipment and Hardware Fees,Audiovisual Equipment Fees,,
IT Facility,Software and Application Development Fees,Custom Software Development Fees,,
IT Facility,Software and Application Development Fees,Application Maintenance and Support Fees,,
IT Facility,Software and Application Development Fees,Software Testing and Quality Assurance Fees,,
IT Facility,Software and Application Development Fees,Application Integration Fees,,
IT Facility,Software and Application Development Fees,Application Upgrade and Enhancement Fees,,
IT Facility,IT Consulting and Professional Services Fees,IT Strategy and Planning Consulting Fees,,
IT Facility,IT Consulting and Professional Services Fees,IT Project Management Fees,,
IT Facility,IT Consulting and Professional Services Fees,IT Security Consulting Fees,,
IT Facility,IT Consulting and Professional Services Fees,Systems Integration Consulting Fees,,
IT Facility,IT Consulting and Professional Services Fees,IT Training and Education Fees,,
IT Facility,IT Maintenance and Support Fees,Help Desk and Technical Support Fees,,
IT Facility,IT Maintenance and Support Fees,Hardware Maintenance and Support Fees,,
IT Facility,IT Maintenance and Support Fees,Software Maintenance and Support Fees,,
IT Facility,IT Maintenance and Support Fees,System Upgrades and Patching Fees,,
IT Facility,IT Maintenance and Support Fees,IT Asset Management Fees,,
IT Labor,IT Staffing and Labor,IT Employee Salaries and Wages,,
IT Labor,IT Staffing and Labor,IT Contractor Fees,,
IT Labor,IT Staffing and Labor,IT Consulting Fees,,
IT Labor,IT Staffing and Labor,Temporary Staffing Services Fees,,
IT Labor,IT Project Management,Project Manager Salaries and Wages,,
IT Labor,IT Project Management,Project Management Software and Tools Fees,,
IT Labor,IT Project Management,Project Management Training and Certification Fees,,
IT Labor,IT Project Management,Project-related Travel and Expenses,,
IT Labor,Systems Integration Services,Systems Integration Consulting Fees,,
IT Labor,Systems Integration Services,Systems Integration Project Fees,,
IT Labor,Systems Integration Services,Systems Integration Software and Tools Fees,,
IT Labor,Systems Integration Services,Data Migration and Integration Fees,,
IT Labor,Systems Integration Services,Testing and Quality Assurance Fees,,
IT Labor,Software Development and Customization,Software Developer Salaries and Wages,,
IT Labor,Software Development and Customization,Software Development Contractor Fees,,
IT Labor,Software Development and Customization,Software Development Tools and Libraries Fees,,
IT Labor,Software Development and Customization,Customization and Configuration Fees,,
IT Labor,Software Development and Customization,Testing and Quality Assurance Fees,,
IT Labor,IT Support and Help Desk,IT Support Staff Salaries and Wages,,
IT Labor,IT Support and Help Desk,IT Support Contractor Fees,,
IT Labor,IT Support and Help Desk,Help Desk Software and Tools Fees,,
IT Labor,IT Support and Help Desk,IT Support Training and Certification Fees,,
IT Labor,IT Support and Help Desk,IT Support Maintenance and Enhancement Fees,,
Welfare - Others,Employee Benefits,Health Insurance Premiums,,
Welfare - Others,Employee Benefits,Retirement Plan Contributions,,
Welfare - Others,Employee Benefits,Life Insurance Premiums,,
Welfare - Others,Employee Benefits,Disability Insurance Premiums,,
Welfare - Others,Employee Benefits,Dental Insurance Premiums,,
Welfare - Others,Employee Benefits,Vision Insurance Premiums,,
Welfare - Others,Employee Benefits,Employee Assistance Programs (EAP),,
Welfare - Others,Employee Benefits,Wellness Programs,,
Welfare - Others,Employee Benefits,Flexible Spending Accounts (FSA),,
Welfare - Others,Employee Benefits,Health Savings Accounts (HSA),,
Welfare - Others,Paid Time Off (PTO),Vacation Leave,,
Welfare - Others,Paid Time Off (PTO),Sick Leave,,
Welfare - Others,Paid Time Off (PTO),Personal Leave,,
Welfare - Others,Paid Time Off (PTO),Holidays,,
Welfare - Others,Paid Time Off (PTO),Bereavement Leave,,
Welfare - Others,Paid Time Off (PTO),Parental Leave,,
Welfare - Others,Paid Time Off (PTO),Jury Duty Leave,,
Welfare - Others,Employee Education and Training,Tuition Reimbursement,,
Welfare - Others,Employee Education and Training,Professional Development Programs,,
Welfare - Others,Employee Education and Training,Certification and Licensing Fees,,
Welfare - Others,Employee Education and Training,Training and Workshops,,
Welfare - Others,Employee Education and Training,Educational Materials and Resources,,
Welfare - Others,Employee Recognition and Rewards,Performance Bonuses and Incentives,,
